Category,Parameter,Description,Junior PM,Intermediate PM,Senior PM,Staff PM,Principal PM
Impact & Influence,Leadership,"How you lead and influence others toward shared goals.","Demonstrates ownership of tasks and begins influencing peers through reliability and positive collaboration. Seeks opportunities to contribute beyond assigned responsibilities.

[PM] Builds basic understanding of the stakeholder landscape and begins forming relationships. Learns to navigate cross-functional dynamics with manager support. Begins understanding how to align upward on priorities and surface key decisions.","Provides informal leadership by guiding peers and supporting alignment in small initiatives. Builds trust through consistency, accountability, and sound judgment.

[PM] Mobilizes cross-functional teams around a shared problem without formal authority. Proactively manages upward to secure support and resources for product initiatives. Aligns the team around outcomes they are fighting for.","Provides clear direction and guidance within the team; sets standards others follow. Influences team alignment by connecting work to broader goals.

[PM] Influences and aligns across multiple teams without formal authority. Negotiates priorities with adjacent product areas. Effectively manages upward to shape leadership's understanding of product opportunities and trade-offs. Informs, involves, and collaborates with stakeholders autonomously.","Leads initiatives across teams; establishes clarity of purpose and motivates others. Acts as a visible leader who drives collaboration and alignment across multiple groups.

[PM] Drives alignment across teams within their domain, removing organizational blockers and ensuring teams execute cohesively. Recognized as the definitive product authority in their domain who other PMs turn to for complex decisions. Manages upward to secure strategic commitment for domain-level initiatives.","Recognised organisationally as a leadership figure across domains. Shapes strategy and inspires alignment through credibility, vision, and influence.

[PM] Is a trusted strategic partner sought out for navigating complex topics. Aligns multiple teams, key stakeholders, and leadership around outcomes. Shapes executive understanding of product strategy and trade-offs. Influences at the highest levels of the organization."
Impact & Influence,Time Horizon for Impact,"The time scale at which you plan and deliver outcomes.","Focuses on short-term goals (days to weeks); learns how work contributes to team output.

[PM] Operates on a 1-3 sprint horizon. Focused on efficiently building the product within well-defined epics.","Works toward medium-term outcomes (quarter-level); aligns individual output with team goals.

[PM] Operates on a 1-2 quarter horizon. Focused on effectively building the product and driving adoption within their domain.","Operates on long-term goals (quarters+); focuses on sustained impact and legacy.

[PM] Operates on a multi-quarter horizon (2-4 quarters). Focused on building the right product and driving tangible customer and commercial outcomes.","Drives multi-quarter to annual initiatives across multiple teams and/or domains.

[PM] Operates on a 12-18 month horizon within their product domain, with a 2-3 year strategic vision. Focused on turning ambiguous domain challenges into executed outcomes with measurable business impact.","Leads cross-functional initiatives that align with strategic organisational goals; delivers org-level outcomes through deep domain expertise.

[PM] Operates on an 18-36 month horizon. Focused on shaping company-level product direction, advancing PM maturity, and ensuring the product organization as a whole delivers on strategic goals."
Impact & Influence,Planning & Scope of Impact,"The breadth and depth of your planning and ownership.","Needs help breaking down and sequencing work; scope limited to sub-tasks or small features.

[PM] Scope: self and epics. Impact focused on efficiently building the product. Typically works alongside a more senior PM on a part or component of product strategy.","Plans and prioritizes effectively; owns end-to-end delivery of projects or initiatives.

[PM] Scope: team and domains. Owns the product area end-to-end, ensuring every activity has the necessary visibility, support, and progress. Recognized as the product leader for their area.","Plans strategically within teams or domains; owns large initiatives with wide-ranging impact.

[PM] Scope: up to 2 teams and respective domains, cross-functional initiatives (e.g., OKRs). Shapes the long-term product area strategy with light support. Recognized as leader for the area and adjacent ones.","Plans and delivers large-scale initiatives across teams and domains; drives alignment at initiative level.

[PM] Scope: multiple teams within their domain and associated cross-functional partners. Owns high-complexity, high-stakes initiatives end-to-end. Decomposes complex domain problems into clear team-level remits and ensures delivery across all of them.","Owns the strategic planning of initiatives within a functional area; influences prioritisation based on organisational value.

[PM] Scope: multiple teams, taskforce, cross-functional initiatives, other PMs. Recognized as the strategic product leader for respective areas and their second-order effects into other areas."
Impact & Influence,Managing Uncertainty,"How you navigate and reduce ambiguity for yourself and others.","Relies on others for clarity; learning to ask good questions.

[PM] Can communicate what problem/opportunity they are working on with support. Starts applying a selection of frameworks and tools but needs guidance on which ones to apply.","Handles moderate ambiguity by gathering input, asking the right questions, and adjusting as needed.

[PM] Synthesizes inputs from various sources to craft a single narrative. Demonstrates clarity when articulating the problem. Understands the broader problem/opportunity and how parts fit into the bigger picture.","Clarifies and reduces ambiguity for others; drives alignment within teams or domains even in highly complex situations.

[PM] Articulates problem statements, including complex ones, with exceptional clarity. Continues to refine understanding as new information emerges. Anchors decisions in data and insights.","Anticipates ambiguity early and resolves proactively across teams and domains; enabling others to operate effectively.

[PM] Resolves deep domain ambiguity by creating structured frameworks that enable teams across their domain to operate effectively. Makes high-stakes calls in uncertain conditions. Coaches PMs in their area on discovery and framing techniques.","Proactively identifies areas of ambiguity and drives clarity across teams through structured frameworks and domain insight.

[PM] Identifies and articulates the most ambiguous problem spaces across a range of product areas and use cases into coherent narratives. Coaches the product organization in tools/frameworks with the right degree of adaptation."
Craft Mastery & Performance,Domain Expertise,"Depth of knowledge in your craft and ability to apply it.","Building foundational knowledge; starting to understand tools, concepts, or systems.

[PM] Talks to customers/users in their specific area and has some understanding of their needs. Relies on guidance to evaluate data and shape the story from it. Defines what success looks like with support. Is aware of competitors for their use case area. Has an understanding of company goals and strategy.","Possesses strong, practical knowledge; recognized as a dependable contributor in core areas.

[PM] Talks to customers/users always looking for deeper insights. Understands needs behind feature requests. Proactively identifies metrics to track and measure success (customer and business benefit). Can independently seek data insights and uses qualitative and quantitative data to craft problem/opportunity statements. Analyzes competitor problems to inform decisions. Proactively links product development to company goals.","Deep subject-matter expertise; trusted advisor within and sometimes beyond the team.

[PM] Recognized internally as an expert in customer/user needs for their area. Independently defines and establishes metrics, evaluating customer and business impact. Is the go-to person for analytics insight in their area. Can effectively drive strategies that move key metrics. Understands competitor landscape and is the go-to person for competitor insight. Uses deep understanding of company strategy to inform product decisions.","Recognised internal authority; sets direction for best practices across teams and domains.

[PM] Recognized as the deepest domain expert within their product area, across multiple use cases and customer segments. Synthesizes quantitative and qualitative data to identify patterns and opportunities that individual teams might miss. Defines and tracks success metrics across their domain. Thinks proactively about competitor insight to uplevel team thinking. Prepares strategic options including considerations across wider product areas.","Recognised as a top-level expert within the organisation; defines technical or functional direction in their area of specialisation.

[PM] Talks to customers across target segments and a broad range of use cases, always looking for deeper insights and how those relate to each other. Uses data/metrics to shape company strategy. Proactively proposes and influences success metrics and KPIs at company level. Socializes and helps establish company-wide KPIs. Identifies sustainable competitive advantages across use cases."
Craft Mastery & Performance,Execution & Autonomy,"How independently and effectively you deliver end-to-end outcomes.","Executes well-scoped tasks with support; begins showing independence.

[PM] Needs support to make strong scoping decisions. Understands GTM plans, pricing, and packaging approach. Needs support to consider the broader customer experience beyond their immediate area.","Delivers complex work independently; holds self accountable for outcomes.

[PM] Facilitates effective scoping sessions with the team. Ensures teams focus on scoping small. Collaborates with PMkt to define GTM plan. Defines new and existing customer feature onboarding. Effectively partners with Sales/CS to communicate product value.","Leads complex workstreams with high accountability and autonomy; removes blockers for others.

[PM] Challenges assumptions about what is actually needed and sharpens the team's thinking. An influential and early collaborator with GTM. Defines impactful onboarding. Very proactive with enablement. Partners with Sales/CS to expose full product value.","Executes strategic cross-team projects independently; consistently removes blockers systemically.

[PM] Drives execution of high-stakes, high-complexity initiatives across teams within their domain. Forms coherent think-big-start-small approaches. Owns GTM strategy for their domain's significant releases. Removes systemic blockers that span team boundaries.","Drives critical programs autonomously across multiple teams or domains; removes systemic blockers and champions scalable solutions.

[PM] Works across multiple teams forming coherent approaches. Shapes and advances GTM for significant product releases. Effectively positions the product in relation to existing customers' IT landscape and competing products. Pro-actively drives internal enablement/documentation."
Craft Mastery & Performance,Quality of Work,"The standard and consistency of your deliverables.","Gets things working; improving structure, clarity, and consistency.

[PM] Needs guidance to deliver outcomes at a project level. Develops an understanding of technical architecture and tradeoffs. Contributes to framing the right UX goals. Relies on support from experts to balance trade-offs.","Produces high-quality deliverables with attention to detail and standards.

[PM] Can demonstrate meaningful impact to customers and business. Has good understanding of what is technically possible with what level of effort. Knows when to prioritize UX effort. New developments maintain or enhance product coherence.","Consistently elevates quality standards; sets benchmarks and models excellence.

[PM] Consistently delivers meaningful impact. Delivers impact at strategy level (aggregate of multiple projects). Shapes technical and UX discussions and challenges the team to deliver best outcomes in the most efficient way.","Scales quality standards across multiple teams and programs.

[PM] Drives significant, measurable business impact within their domain across multiple teams. Identifies and resolves technical and UX challenges that span team boundaries. Balances proven approaches with calculated bets on new technologies or methods.","Sets quality benchmarks within the discipline; ensures sustainable standards are scaled across teams through tools, reviews, and enablement.

[PM] Motivates multiple teams to deliver significant impact to customers and business. Evangelizes the importance of coherent product experience and brings convincing evidence to strengthen the case."
Craft Mastery & Performance,Learning Agility & Feedback,"How quickly you learn, adapt, and help others grow through feedback.","Learns quickly when exposed to new tools, processes, or contexts. Open to receiving and applying feedback with guidance.

[PM] Demonstrates curiosity, openness, and the ability to adapt approaches in response to feedback and changing priorities. Contributes new ideas and suggestions for innovative approaches within their product area.","Seeks, gives, and incorporates feedback to improve self and others. Learns new skills efficiently; applies them to deliver stronger outcomes.

[PM] Able to adapt and pivot own approach in response to challenges, feedback, and changing priorities. With light support, drives change/transformation in their product area and aligns key stakeholders to new visions.","Gives impactful, developmental feedback; builds feedback culture within the team. Continuously expands expertise and shares insights with peers.

[PM] Able to instigate and drive change in response to challenges and feedback. Understands the impact of transformation and proactively devises communication strategies. Actively embraces a growth mindset. Influences and helps advance PM organization maturity.","Embeds feedback culture across multiple teams; models vulnerability and continuous growth. Integrates new knowledge into frameworks that benefit multiple teams.

[PM] Drives transformation within their domain, communicating a clear vision and building commitment across teams. Coaches PMs in their area on product craft, discovery methods, and stakeholder management. Models continuous learning by going deep on emerging practices.","Cultivates a culture of feedback; mentors senior ICs and cross-functional peers through thought leadership. Shapes organisational learning practices; promotes mastery across the company.

[PM] Proactively seeks out opportunities to enact change, communicating vision and driving commitment amongst leaders. Empowers others to adopt a growth mindset. Advances the maturity level of the Product Management function as a whole."
People & Collaboration,Team Partnership & Mentorship,"How you collaborate with and develop others.","Contributes in team rituals and workflows; works well with direct teammates. Learns from others and asks questions; motivated to grow.

[PM] Typically supports the manager on wider transformation and change strategies. Begins building relationships across the product team.","Collaborates effectively across teams; navigates interpersonal dynamics. Begins mentoring junior teammates; shares learnings and supports development.

[PM] Proactively generates ideas and makes suggestions. Supports multiple stakeholders across the group, helping to drive alignment. Begins coaching junior PMs on product craft.","Facilitates high-performing team dynamics; often the go-to for alignment and collaboration. Coaches peers and emerging talent; actively raises others.

[PM] Understands the impact of change/transformation and proactively devises communication strategies. Actively embraces a growth mindset and works to solve challenges. Mentors PMs and helps them develop product craft and stakeholder skills.","Operates as a collaboration anchor across teams, often an informal leader. Champions development programs across teams.

[PM] Acts as the collaboration hub within their domain, ensuring teams work cohesively toward shared outcomes. Coaches and develops PMs within their domain on product strategy, discovery, and execution. Actively builds the next generation of Senior PMs.","Collaborates across departments as a trusted expert; influences decisions at the org level. Develops others by mentoring senior peers and building internal networks.

[PM] Empowers and leads teams to drive complex transformation across broad product areas. Demonstrates a willingness to experiment, flex, and adapt, empowering others to adopt a similar growth mindset. Builds PM leadership capacity across the organization."
People & Collaboration,Communication,"How clearly and effectively you communicate across audiences.","Communicates progress and blockers with support; learning to express clearly. Begins to listen actively and adapt tone.

[PM] Articulates what problem they are working on and why it matters. Begins adapting communication for different audiences (engineering vs. design vs. stakeholders) with guidance. Learns to frame discussions in outcome terms rather than feature terms.","Communicates with clarity and structure across peers and stakeholders. Builds rapport through empathy and inclusivity.

[PM] Crafts clear product narratives that connect features to customer outcomes. Adapts messaging effectively for engineering, design, Sales, and CS. Partners with Sales/CS to communicate product value. Presents data with a clear narrative and recommendation.","Influences through clear, strategic communication; aligns diverse stakeholders. Builds trust by listening deeply and addressing tensions constructively.

[PM] Tells the product story with clarity and conviction across all audiences. Positions the product effectively against competitors. Drives GTM communication ensuring product decisions and their rationale cascade to all stakeholders. Navigates difficult conversations about deprioritization with empathy and transparency.","Shapes communication strategies that align multi-team efforts and organisational goals. Creates open channels for dialogue and inclusive communication.

[PM] Shapes product narratives that align multiple teams within their domain. Positions their domain's products effectively in the competitive landscape. Drives enablement and documentation to ensure the product has the best chance of market success.","Crafts compelling narratives that shape direction and inspire alignment across technical and non-technical audiences. Resolves high-stakes conflicts through trust and collaboration.

[PM] Crafts compelling product narratives that shape company direction. Positions the entire product portfolio in relation to the ecosystem. Ensures product communication cascades effectively throughout the organization at all levels."
